,count,mean,std,min,25%,50%,75%,max
alcohol,178.0,13.00061797752809,0.8118265380058575,11.03,12.362499999999999,13.05,13.6775,14.83
malic_acid,178.0,2.3363483146067416,1.1171460976144627,0.74,1.6025,1.8650000000000002,3.0825,5.8
ash,178.0,2.3665168539325845,0.27434400906081485,1.36,2.21,2.36,2.5575,3.23
alcalinity_of_ash,178.0,19.49494382022472,3.339563767173505,10.6,17.2,19.5,21.5,30.0
magnesium,178.0,99.74157303370787,14.282483515295665,70.0,88.0,98.0,107.0,162.0
total_phenols,178.0,2.295112359550562,0.6258510488339893,0.98,1.7425,2.355,2.8,3.88
flavanoids,178.0,2.0292696629213487,0.9988586850169467,0.34,1.205,2.135,2.875,5.08
nonflavanoid_phenols,178.0,0.3618539325842696,0.12445334029667937,0.13,0.27,0.34,0.4375,0.66
proanthocyanins,178.0,1.5908988764044945,0.5723588626747613,0.41,1.25,1.5550000000000002,1.95,3.58
color_intensity,178.0,5.058089882022472,2.318285871822413,1.28,3.2199999999999998,4.6899999999999995,6.2,13.0
hue,178.0,0.9574494382022471,0.22857156582982338,0.48,0.7825,0.965,1.12,1.71
od280/od315_of_diluted_wines,178.0,2.6116853932584267,0.7099904287650504,1.27,1.9375,2.78,3.17,4.0
proline,178.0,746.8932584269663,314.9074742768491,278.0,500.5,673.5,985.0,1680.0
target,178.0,0.9382022471910112,0.7750349899850564,0.0,0.0,1.0,2.0,2.0
